_unit_id,_golden,_unit_state,_trusted_judgments,confidence,confidence:stddev,relation,relation:confidence,orig__golden,context,pair_id,relation_gold,relation_gold_reason,sentence_1,sentence_2,speaker_1,speaker_2,topic,relation_AAF,relation_BAF,gpt_davinci,gpt_35,gpt_35_0613,selected,sen1_inx,sen2_inx,satis_relation_AAF,satis_gpt_davinci,satis_gpt_35,satis_gpt_35_0613,SVM,Decision_Tree,Naive_Bayes,LR,satis_Decision_Tree,satis_SVM,satis_LR,satis_Naive_Bayes
3085729585,True,golden,65,4.45,0.7020000000000001,neither,0.8807,True,"<strong>Kamala Harris:</strong> ""Please vote.""
<br><strong>Susan Page:</strong> ""Thank you, Senator.""
<br><strong>Susan Page:</strong> ""Vice president Pence, president Trump has several times refused to commit himself to a peaceful transfer of power after the election.""
<br><strong>Susan Page:</strong> ""If vice president Biden is declared the winner and president Trump refuses to accept a peaceful transfer of power, what would be your role and responsibility as vice president?""
<br><strong>Susan Page:</strong> ""What would you personally do?""
<br><strong>Susan Page:</strong> ""You have two minutes.""
<br><strong>Mike Pence:</strong> ""Well, Susan, first and foremost, I think we’re going to win this election.""
<br><strong>Mike Pence:</strong> ""Because while Joe Biden and Kamala Harris rattle off a long litany of the establishment in Washington, DC and establishment that Joe Biden’s been a part of for 47 years, president Donald Trump has as launched a movement of everyday Americans from every walk of life.""
<br><strong>Mike Pence:</strong> ""<span style=""color: rgb(41, 105, 176);"">And I have every confidence that the same Americans that delivered that historic victory in 2016, they see this president’s record where we rebuild our military.</span>""
<br><strong>Mike Pence:</strong> ""We revived our economy through tax cuts and rolling back regulation, fighting for fair trade, unleashing American energy.""
<br><strong>Mike Pence:</strong> ""We appointed conservatives to our federal courts at every level.""
<br><strong>Mike Pence:</strong> ""And we stood with the men and women of law enforcement every single day.""
<br><strong>Mike Pence:</strong> ""<span style=""color: rgb(41, 105, 176);"">And I think that movement of Americans has only grown stronger in the last four years.</span>""
<br><strong>Mike Pence:</strong> ""But when you talk about accepting the outcome of the election, I must tell you.""
<br><strong>Mike Pence:</strong> ""Senator, your party has spent the last three and a half years trying to overturn the results of the last election.""
<br>",n160434b07p3539,Neither,"In these two sentences, the speaker is simply stating opinions. These sentences neither support nor attack one another.","And I have every confidence that the same Americans that delivered that historic victory in 2016, they see this president’s record where we rebuild our military.",And I think that movement of Americans has only grown stronger in the last four years.,Mike Pence,Mike Pence,Election,0,0,2,2,2,1,738,1547,0,0,0,0,0,0,0,0,0,0,0,0
3085729586,True,golden,70,4.46,0.75,neither,0.9203,True,"<strong>Donald Trump:</strong> ""Look what happened in Oakland.""
<br><strong>Donald Trump:</strong> ""Look what happened in Baltimore.""
<br><strong>Donald Trump:</strong> ""Look what happened… Frankly, it was more violent than what I’m even seeing now.""
<br><strong>Joe Biden:</strong> ""Oh my Lord.""
<br><strong>Donald Trump:</strong> ""But the reason-""
<br><strong>Joe Biden:</strong> ""<span style=""color: rgb(41, 105, 176);"">This is ridiculous.</span>""
<br><strong>Donald Trump:</strong> ""… is that the Democrats that run these cities-""
<br><strong>Joe Biden:</strong> ""<span style=""color: rgb(41, 105, 176);"">Absolutely ridiculous.</span>""
<br><strong>Donald Trump:</strong> ""… don’t want to talk, like you, about law and order.""
<br><strong>Joe Biden:</strong> ""Violent crime-""
<br><strong>Donald Trump:</strong> ""And you still haven’t mentioned.""
<br><strong>Donald Trump:</strong> ""Are you in favor of law and order?""
<br><strong>Joe Biden:</strong> ""I’m in favor of law.""
<br><strong>Joe Biden:</strong> ""You- [crosstalk 00:35:15].""
<br><strong>Donald Trump:</strong> ""Are you in favor of law and order?""
<br>",n010145b07p4345,Neither,"Here, the speaker is reiterating an opinion, there is no support nor attack relation.",This is ridiculous.,Absolutely ridiculous.,Joe Biden,Joe Biden,Racism,0,0,2,2,2,1,1384,352,0,0,0,0,0,0,0,0,0,0,0,0
3085729587,True,golden,60,3.93,0.772,neither,1.0,True,"<strong>Donald Trump:</strong> ""And you’ll get to see it.""
<br><strong>Donald Trump:</strong> ""And you’ll get to see it.""
<br><strong>Joe Biden:</strong> ""When?""
<br><strong>Donald Trump:</strong> ""<span style=""color: rgb(41, 105, 176);"">But let me just tell you-</span>""
<br><strong>Joe Biden:</strong> ""<span style=""color: rgb(41, 105, 176);"">In [crosstalk 00:16:04]?</span>""
<br><strong>Donald Trump:</strong> ""Chris, let me just say something, that it was the tax laws.""
<br><strong>Donald Trump:</strong> ""I don’t want to pay tax.""
<br><strong>Donald Trump:</strong> ""Before I came here, I was a private developer, I was a private business people.""
<br><strong>Donald Trump:</strong> ""Like every other private person, unless they’re stupid, they go through the laws, and that’s what it is.""
<br><strong>Donald Trump:</strong> ""He passed a tax bill that gave us all these privileges for depreciation and for tax credits.""
<br><strong>Donald Trump:</strong> ""We build the building and we get tax credits, like the hotel on Pennsylvania Avenue.""
<br><strong>Donald Trump:</strong> ""Which by the way, was given to me by the Obama administration, if you can believe that.""
<br><strong>Donald Trump:</strong> ""Now the man got fired right after that happened, but that’s-""
<br><strong>Chris Wallace:</strong> ""Vice President Biden, you want to respond?""
<br><strong>Joe Biden:</strong> ""Yeah, I do want to respond.""
<br>",n000798b07p9495,Neither,The relation between these sentences is classified as neither because one of them is incomplete and the other one contains transcription labels.,But let me just tell you-,In [crosstalk 00:16:04]?,Donald Trump,Joe Biden,Economy,0,0,0,0,0,1,143,1631,0,0,0,0,0,0,0,0,0,0,0,0
3085729588,False,golden,6,4.33,0.471,attack,0.4744,True,"<strong>Kristen Welker:</strong> ""I have one final question called.""
<br><strong>Donald Trump:</strong> ""Would he close down the oil industry?""
<br><strong>Kristen Welker:</strong> ""It falls-""
<br><strong>Donald Trump:</strong> ""Would you close dow the oil industry?""
<br><strong>Joe Biden:</strong> ""<span style=""color: rgb(41, 105, 176);"">By the way, I have a transition from the old industry, yes.</span>""
<br><strong>Donald Trump:</strong> ""<span style=""color: rgb(41, 105, 176);"">Oh, that’s a big statement.</span>""
<br><strong>Joe Biden:</strong> ""I will transition.""
<br><strong>Joe Biden:</strong> ""It is a big statement.""
<br><strong>Donald Trump:</strong> ""That’s a big statement.""
<br><strong>Joe Biden:</strong> ""Because I would stop.""
<br><strong>Kristen Welker:</strong> ""Why would you do that?""
<br><strong>Joe Biden:</strong> ""Because the oil industry pollutes, significantly.""
<br><strong>Donald Trump:</strong> ""Oh, I see.""
<br><strong>Kristen Welker:</strong> ""Okay.""
<br><strong>Joe Biden:</strong> ""Here’s the deal-""
<br>",n030538b07p3536,attack,"This is an attack relation. Tump uses the sentence ""that's a big statement"" as an argument to what Biden said. This argument is meant to attack what Biden said.","By the way, I have a transition from the old industry, yes.","Oh, that’s a big statement.",Joe Biden,Donald Trump,Climate change,1,1,0,0,0,1,1062,1801,0,0,0,0,0,0,1,0,0,0,0,0
3085729589,True,golden,67,4.57,0.628,support,0.9631,True,"<strong>Susan Page:</strong> ""So, tell us specifically, how would your administration protect Americans with preexisting conditions to have access to affordable insurance if the Affordable Care Act is struck down?""
<br><strong>Mike Pence:</strong> ""Well, thank you, Susan, but let me just say, addressing your very first question.""
<br><strong>Mike Pence:</strong> ""<span style=""color: rgb(41, 105, 176);"">I couldn’t be more proud to serve as vice president to a president who stands without apology for the sanctity of human life.</span>""
<br><strong>Mike Pence:</strong> ""<span style=""color: rgb(41, 105, 176);"">I’m pro-life.</span>""
<br><strong>Mike Pence:</strong> ""I don’t apologize for it, and this is another one of those cases where there’s such a dramatic contrast.""
<br><strong>Mike Pence:</strong> ""Joe Biden and Kamala Harris support taxpayer funding of abortion all the way up to the moment of birth.""
<br><strong>Mike Pence:</strong> ""Late term abortion.""
<br><strong>Mike Pence:</strong> ""They want to increase funding to Planned Parenthood of America.""
<br><strong>Mike Pence:</strong> ""For our part, I would never presume how Judge Amy Coney Barrett would rule on the Supreme Court of the United States, but we’ll continue to stand strong for the right to life.""
<br><strong>Mike Pence:</strong> ""When you speak about the Supreme Court, though, I think the American people really deserve an answer, Senator Harris.""
<br><strong>Mike Pence:</strong> ""Are you and Joe Biden going to pack the court if Judge Amy Coney Barrett is confirmed?""
<br><strong>Mike Pence:</strong> ""I mean, there’ve been 29 vacancies on the Supreme Court during presidential election years from George Washington to Barack Obama.""
<br><strong>Mike Pence:</strong> ""Presidents have nominated in all 29 cases, but your party is actually openly advocating, adding seats to the Supreme court, which has had nine seats for 150 years if you don’t get your way.""
<br><strong>Mike Pence:</strong> ""This is a classic case of if you can’t win by the rules, you’re going to change the rules.""
<br><strong>Mike Pence:</strong> ""Now you’ve refused to answer the question.""
<br>",n160224b07p1920,Support,"This is a support relation. It helps to put it in the following way: ""I couldn't be more proud […] [because] I'm pro-life"". ",I couldn’t be more proud to serve as vice president to a president who stands without apology for the sanctity of human life.,I’m pro-life.,Mike Pence,Mike Pence,Supreme Court,0,2,2,2,2,1,353,230,0,0,0,0,0,2,0,0,0,0,0,0
3085729590,True,golden,62,4.55,0.664,neither,1.0,True,"<strong>Joe Biden:</strong> ""The other thing that’s on the court, and if it’s struck down, what happens?""
<br><strong>Joe Biden:</strong> ""Women’s rights are fundamentally changed.""
<br><strong>Joe Biden:</strong> ""Once again, a woman could pay more money because she has a pre-existing condition of pregnancy.""
<br><strong>Joe Biden:</strong> ""They’re able to charge women more for the same exact procedure a man gets.""
<br><strong>Joe Biden:</strong> ""And that ended when we, in fact, passed the Affordable Care Act, and there’s a hundred million people who have pre-existing conditions and they’ll be taken away as well.""
<br><strong>Joe Biden:</strong> ""Those pre-existing conditions, insurance companies are going to love this.""
<br><strong>Joe Biden:</strong> ""And so it’s just not appropriate to do this before this election.""
<br><strong>Joe Biden:</strong> ""If he wins the election and the Senate is Republican, then he goes forward.""
<br><strong>Joe Biden:</strong> ""If not, we should wait until February.""
<br><strong>Donald Trump:</strong> ""<span style=""color: rgb(41, 105, 176);"">There aren’t a hundred million people with pre-existing conditions.</span>""
<br><strong>Donald Trump:</strong> ""As far as a say is concerned, the people already had their say.""
<br><strong>Donald Trump:</strong> ""Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years.""
<br><strong>Donald Trump:</strong> ""<span style=""color: rgb(41, 105, 176);"">We’re not elected for three years.</span>""
<br><strong>Donald Trump:</strong> ""I’m not elected for three years.""
<br><strong>Donald Trump:</strong> ""So we have the Senate, we have a President-""
<br>",n000056b07p5861,Neither,"These sentences are attacking different points being made in the conversation. However, they refer to different topics, and their relation is neither support nor attack.",There aren’t a hundred million people with pre-existing conditions.,We’re not elected for three years.,Donald Trump,Donald Trump,Supreme Court,0,0,0,0,0,1,1673,1578,0,0,0,0,0,0,0,0,0,0,0,0
3085729591,True,golden,68,4.13,0.54,support,1.0,True,"<strong>Joe Biden:</strong> ""The deal is that it’s going to wipe out pre-existing conditions.""
<br><strong>Joe Biden:</strong> ""And, by the way, the 200,000 people that have died on his watch, how many of those have survived?""
<br><strong>Joe Biden:</strong> ""Well, there’s seven million people that contracted COVID.""
<br><strong>Joe Biden:</strong> ""What does it mean for them going forward if you strike down the Affordable Care Act?""
<br><strong>Donald Trump:</strong> ""Joe, you’ve had 308,000 military people dying because you couldn’t provide them proper healthcare in the military.""
<br><strong>Donald Trump:</strong> ""So don’t tell me about this.""
<br><strong>Joe Biden:</strong> ""I’m happy to talk about this.""
<br><strong>Donald Trump:</strong> ""<span style=""color: rgb(41, 105, 176);"">And if you were here, it wouldn’t be 200, it would be two million people because you were very late on the draw.</span>""
<br><strong>Donald Trump:</strong> ""You didn’t want me to ban China, which was heavily infected.""
<br><strong>Donald Trump:</strong> ""<span style=""color: rgb(41, 105, 176);"">You didn’t want me to ban Europe.</span>""
<br><strong>Chris Wallace:</strong> ""All right, gentlemen, Mr. President.""
<br><strong>Donald Trump:</strong> ""You would have been much later, Joe, much later.""
<br><strong>Chris Wallace:</strong> ""Mr. President.""
<br><strong>Donald Trump:</strong> ""We’re talking about two million people.""
<br><strong>Joe Biden:</strong> ""You’re not going to be able to shut him up.""
<br>",n000104b07p0406,Support,"The relationship is support. Trump accuses Biden of being late on the issue of COVID, because ""you didn't want me to ban Europe"". Although both statements attack the person of Biden, we need to realise that the sentences are supporting each other. ""You were late on the draw [...] [because] you didn't want me to ban Europe [when we should]"".","And if you were here, it wouldn’t be 200, it would be two million people because you were very late on the draw.",You didn’t want me to ban Europe.,Donald Trump,Donald Trump,Supreme Court,0,2,0,0,0,1,904,1071,0,0,0,0,0,0,0,0,0,0,0,0
3085729592,True,golden,62,4.1,0.56,attack,0.9604,True,"<strong>Donald Trump:</strong> ""Who built the cages, Joe?""
<br><strong>Joe Biden:</strong> ""Let’s talk about what we’re talking about.""
<br><strong>Joe Biden:</strong> ""What happened?""
<br><strong>Joe Biden:</strong> ""Parents were ripped… Their kids were ripped from their arms and separated, and now they cannot find over 500 of the sets of those parents, and those kids are alone.""
<br><strong>Joe Biden:</strong> ""Nowhere to go.""
<br><strong>Joe Biden:</strong> ""Nowhere to go.""
<br><strong>Joe Biden:</strong> ""<span style=""color: rgb(41, 105, 176);"">It’s criminal.</span>""
<br><strong>Joe Biden:</strong> ""<span style=""color: rgb(41, 105, 176);"">It’s criminal.</span>""
<br><strong>Kristen Welker:</strong> ""Let me ask you about [crosstalk 00:34:50] in 10 seconds and then I need to ask [crosstalk 00:34:53].""
<br><strong>Donald Trump:</strong> ""Kristen, I will say this.""
<br><strong>Donald Trump:</strong> ""They went down.""
<br><strong>Donald Trump:</strong> ""We brought reporters, everything.""
<br><strong>Donald Trump:</strong> ""<span style=""color: rgb(41, 105, 176);"">They are so well taken care of.</span>""
<br><strong>Donald Trump:</strong> ""They’re in facilities that were so clean.""
<br><strong>Kristen Welker:</strong> ""But some of them haven’t been reunited with their families.""
<br>",n030111b07p1016,Attack,This is an attack relation. Biden states that separating kids from their parents is criminal. Trump counterargues that they're well taken care of. ,It’s criminal.,They are so well taken care of.,Joe Biden,Donald Trump,Minimum wage,1,1,1,0,0,1,391,1214,0,0,0,0,0,0,1,0,0,0,0,0
3085729593,True,golden,69,4.17,0.537,support,1.0,True,"<strong>Donald Trump:</strong> ""<span style=""color: rgb(41, 105, 176);"">Mexico is heavily infected, as you know.</span>""
<br><strong>Donald Trump:</strong> ""<span style=""color: rgb(41, 105, 176);"">And we’ve made it very, very difficult to come in because of the pandemic, and other reasons, and crime.</span>""
<br><strong>Donald Trump:</strong> ""But we have a very strong border right now, and we have to keep it that way.""
<br><strong>Donald Trump:</strong> ""But we want people to come into our country, but they have to come in through a merit system, and they have to come in legally.""
<br><strong>Donald Trump:</strong> ""And people are very, very happy with it.""
<br><strong>Donald Trump:</strong> ""You haven’t heard any complaints about that.""
<br><strong>Donald Trump:</strong> ""But what happened is because of the pandemic, we have to be extra cautious.""
<br><strong>Savannah Guthrie:</strong> ""You have been promising this immigration bill since, well, at least July, when you told my colleague on Telemundo it was coming.""
<br><strong>Savannah Guthrie:</strong> ""But nothing’s come yet.""
<br><strong>Donald Trump:</strong> ""It’s very happy.""
<br><strong>Donald Trump:</strong> ""The fact is, we got rid of catch and release, which is a disaster.""
<br><strong>Donald Trump:</strong> ""You catch somebody.""
<br><strong>Donald Trump:</strong> ""They could be a murderer.""
<br><strong>Donald Trump:</strong> ""That could be a rapist, and we’re supposed to release them into our country.""
<br><strong>Donald Trump:</strong> ""These are the laws that I inherited.""
<br>",n140212b07p0506,Support,"This is a support relation. ""Mexico is heavily infected […], [therefore] we've made it very, very difficult to come […]"". Being heavily infected supports the decision of not allowing Mexicans to enter the country.","Mexico is heavily infected, as you know.","And we’ve made it very, very difficult to come in because of the pandemic, and other reasons, and crime.",Donald Trump,Donald Trump,Racism,0,2,1,0,0,1,219,729,0,0,0,0,0,2,0,0,0,0,0,0
3085729594,True,golden,63,4.52,0.639,support,0.9176,True,"<strong>Donald Trump:</strong> ""It came out, it just came out-""
<br><strong>Savannah Guthrie:</strong> ""I heard, 20%.""
<br><strong>Donald Trump:</strong> ""… at 7.8% unemployment, and people can’t even believe it.""
<br><strong>Donald Trump:</strong> ""Our economy is going to be… Next year, if we don’t have somebody that raises taxes and quadruples taxes, which they want to do, and it kills everything.""
<br><strong>Donald Trump:</strong> ""Our economy is going to be phenomenal, next year.""
<br><strong>Donald Trump:</strong> ""<span style=""color: rgb(41, 105, 176);"">We’re going to have a phenomenal…</span>""
<br><strong>Donald Trump:</strong> ""And, I’ll tell you, Savannah.""
<br><strong>Donald Trump:</strong> ""<span style=""color: rgb(41, 105, 176);"">We had the greatest economy in the history of our country last year, including the state of Florida, where we are now.</span>""
<br><strong>Donald Trump:</strong> ""In Pennsylvania, in North Carolina, in Ohio, every place.""
<br><strong>Donald Trump:</strong> ""We had the greatest economy we ever had.""
<br><strong>Donald Trump:</strong> ""We had to close it down, we saved two million lives.""
<br><strong>Donald Trump:</strong> ""We’re opening it up.""
<br><strong>Donald Trump:</strong> ""We have a V-shape and it’s coming back.""
<br><strong>Donald Trump:</strong> ""It’s coming back very fast.""
<br><strong>Donald Trump:</strong> ""One other thing, we really helped the hospitals.""
<br>",n120506b07p0406,"Support
Neither","This is a support relation. Although the first sentence is not completely finished, it's not difficult to imagine that the speakers wants to say ""we're going to have a phenomenal [year], [because] we had the greatest economy in the history of our country last year [and we should expect the same this year]"". In cases where the sentence is incomplete, you think think whether the information provided is enough to understand what the speaker wants to say. However, to consider this ambiguity, neither is also accepted.",We’re going to have a phenomenal…,"We had the greatest economy in the history of our country last year, including the state of Florida, where we are now.",Donald Trump,Donald Trump,COVID,0,2,2,2,2,1,1645,404,0,0,0,0,0,0,0,0,0,0,0,0
